N,d,k,beta,prob_low,prob_upp
100.0,1.0,0.0,0.1,0.97752951171875,1.0
100.0,1.0,1.0,0.1,0.96190482421875,0.99901345703125
100.0,1.0,2.0,0.1,0.94823322265625,0.99510728515625
100.0,1.0,3.0,0.1,0.93456162109375,0.98924802734375
100.0,1.0,4.0,0.1,0.9208900195312499,0.98338876953125
100.0,1.0,5.0,0.1,0.90917150390625,0.97557642578125
100.0,1.0,6.0,0.1,0.89745298828125,0.96776408203125
100.0,1.0,7.0,0.1,0.88573447265625,0.95995173828125
100.0,1.0,8.0,0.1,0.87401595703125,0.95213939453125
100.0,1.0,9.0,0.1,0.86229744140625,0.94432705078125
100.0,1.0,10.0,0.1,0.8505789257812499,0.9365147070312501
100.0,1.0,11.0,0.1,0.83886041015625,0.92870236328125
100.0,1.0,12.0,0.1,0.8271418945312501,0.9208900195312499
100.0,1.0,13.0,0.1,0.8154233789062499,0.91112458984375
100.0,1.0,14.0,0.1,0.80565794921875,0.9033122460937499
100.0,1.0,15.0,0.1,0.79393943359375,0.89549990234375
100.0,1.0,16.0,0.1,0.78222091796875,0.88573447265625
100.0,1.0,17.0,0.1,0.77245548828125,0.87792212890625
100.0,1.0,18.0,0.1,0.7607369726562501,0.8681566992187499
100.0,1.0,19.0,0.1,0.75097154296875,0.86034435546875
100.0,1.0,20.0,0.1,0.7392530273437501,0.8505789257812499
100.0,1.0,21.0,0.1,0.72948759765625,0.84276658203125
100.0,1.0,22.0,0.1,0.7177690820312501,0.83300115234375
100.0,1.0,23.0,0.1,0.7080036523437501,0.82518880859375
100.0,1.0,24.0,0.1,0.69628513671875,0.8154233789062499
100.0,1.0,25.0,0.1,0.6865197070312501,0.80565794921875
100.0,1.0,26.0,0.1,0.67480119140625,0.7978456054687499
100.0,1.0,27.0,0.1,0.66503576171875,0.78808017578125
100.0,1.0,28.0,0.1,0.6552703320312501,0.7783147460937501
100.0,1.0,29.0,0.1,0.6435518164062499,0.76854931640625
100.0,1.0,30.0,0.1,0.63378638671875,0.7607369726562501
100.0,1.0,31.0,0.1,0.62402095703125,0.75097154296875
100.0,1.0,32.0,0.1,0.6123024414062499,0.74120611328125
100.0,1.0,33.0,0.1,0.60253701171875,0.7314406835937501
100.0,1.0,34.0,0.1,0.59277158203125,0.72362833984375
100.0,1.0,35.0,0.1,0.5810530664062499,0.7138629101562501
100.0,1.0,36.0,0.1,0.57128763671875,0.7040974804687501
100.0,1.0,37.0,0.1,0.56152220703125,0.69433205078125
100.0,1.0,38.0,0.1,0.55175677734375,0.68456662109375
100.0,1.0,39.0,0.1,0.5419913476562501,0.67480119140625
100.0,1.0,40.0,0.1,0.53027283203125,0.66503576171875
100.0,1.0,41.0,0.1,0.5205074023437499,0.6552703320312501
100.0,1.0,42.0,0.1,0.5107419726562501,0.64745798828125
100.0,1.0,43.0,0.1,0.50097654296875,0.6376925585937501
100.0,1.0,44.0,0.1,0.49121111328125,0.62792712890625
100.0,1.0,45.0,0.1,0.48144568359374995,0.61816169921875
100.0,1.0,46.0,0.1,0.4716802539062499,0.6083962695312499
