N,d,k,beta,prob_low,prob_upp
100,1,0,0.1,0.97752951171875,1.0
100,1,1,0.1,0.96190482421875,0.99901345703125
100,1,2,0.1,0.94823322265625,0.99510728515625
100,1,3,0.1,0.93456162109375,0.98924802734375
100,1,4,0.1,0.9208984375,0.983389765625
100,1,5,0.1,0.9091796875,0.975577890625
100,1,6,0.1,0.8974609375,0.967766015625
100,1,7,0.1,0.8857421875,0.959954140625
100,1,8,0.1,0.8740234375,0.952142265625
100,1,9,0.1,0.8623046875,0.9443359375
100,1,10,0.1,0.8505859375,0.9365234375
100,1,11,0.1,0.8388671875,0.9287109375
100,1,12,0.1,0.8271484375,0.9208984375
100,1,13,0.1,0.8154296875,0.9111328125
100,1,14,0.1,0.8056640625,0.9033203125
100,1,15,0.1,0.7939453125,0.8955078125
100,1,16,0.1,0.7822265625,0.8857421875
100,1,17,0.1,0.7724609375,0.8779296875
100,1,18,0.1,0.7607421875,0.8681640625
100,1,19,0.1,0.7509765625,0.8603515625
100,1,20,0.1,0.7392578125,0.8505859375
100,1,21,0.1,0.7294921875,0.8427734375
100,1,22,0.1,0.7177734375,0.8330078125
100,1,23,0.1,0.7080078125,0.8251953125
100,1,24,0.1,0.6962890625,0.8154296875
100,1,25,0.1,0.6865234375,0.8056640625
100,1,26,0.1,0.6748046875,0.7978515625
100,1,27,0.1,0.6650390625,0.7880859375
100,1,28,0.1,0.6552734375,0.7783203125
100,1,29,0.1,0.6435546875,0.7685546875
100,1,30,0.1,0.6337890625,0.7607421875
100,1,31,0.1,0.6240234375,0.7509765625
100,1,32,0.1,0.6123046875,0.7412109375
100,1,33,0.1,0.6025390625,0.7314453125
100,1,34,0.1,0.5927734375,0.7236328125
100,1,35,0.1,0.5810546875,0.7138671875
100,1,36,0.1,0.5712890625,0.7041015625
100,1,37,0.1,0.5615234375,0.6943359375
100,1,38,0.1,0.5517578125,0.6845703125
100,1,39,0.1,0.5419921875,0.6748046875
100,1,40,0.1,0.5302734375,0.6650390625
100,1,41,0.1,0.5205078125,0.6552734375
100,1,42,0.1,0.5107421875,0.6474609375
100,1,43,0.1,0.5009765625,0.6376953125
100,1,44,0.1,0.4912109375,0.6279296875
100,1,45,0.1,0.4814453125,0.6181640625
100,1,46,0.1,0.4716796875,0.6083984375
100,1,47,0.1,0.4619140625,0.5986328125
100,1,48,0.1,0.4501953125,0.5888671875
100,1,49,0.1,0.4404296875,0.5791015625
100,1,50,0.1,0.4306640625,0.5693359375
100,1,51,0.1,0.4208984375,0.5595703125
100,1,52,0.1,0.4111328125,0.5498046875
100,1,53,0.1,0.4013671875,0.5380859375
100,1,54,0.1,0.3916015625,0.5283203125
100,1,55,0.1,0.3818359375,0.5185546875
100,1,56,0.1,0.3720703125,0.5087890625
100,1,57,0.1,0.3623046875,0.4990234375
100,1,58,0.1,0.3525390625,0.4892578125
100,1,59,0.1,0.3447265625,0.4794921875
100,1,60,0.1,0.3349609375,0.4697265625
100,1,61,0.1,0.3251953125,0.4580078125
100,1,62,0.1,0.3154296875,0.4482421875
100,1,63,0.1,0.3056640625,0.4384765625
100,1,64,0.1,0.2958984375,0.4287109375
100,1,65,0.1,0.2861328125,0.4189453125
100,1,66,0.1,0.2763671875,0.4072265625
100,1,67,0.1,0.2685546875,0.3974609375
100,1,68,0.1,0.2587890625,0.3876953125
100,1,69,0.1,0.2490234375,0.3759765625
100,1,70,0.1,0.2392578125,0.3662109375
100,1,71,0.1,0.2314453125,0.3564453125
100,1,72,0.1,0.2216796875,0.3447265625
100,1,73,0.1,0.2119140625,0.3349609375
100,1,74,0.1,0.2021484375,0.3251953125
100,1,75,0.1,0.1943359375,0.3134765625
100,1,76,0.1,0.1845703125,0.3037109375
100,1,77,0.1,0.1748046875,0.2919921875
100,1,78,0.1,0.1669921875,0.2822265625
100,1,79,0.1,0.1572265625,0.2705078125
100,1,80,0.1,0.1494140625,0.2607421875
100,1,81,0.1,0.1396484375,0.2490234375
100,1,82,0.1,0.1318359375,0.2392578125
100,1,83,0.1,0.1220703125,0.2275390625
100,1,84,0.1,0.1142578125,0.2177734375
100,1,85,0.1,0.1044921875,0.2060546875
100,1,86,0.1,0.09668195312500005,0.1943359375
100,1,87,0.1,0.08887007812500003,0.1845703125
100,1,88,0.1,0.07910523437500006,0.1728515625
100,1,89,0.1,0.07129335937500003,0.1611328125
100,1,90,0.1,0.06372390625000013,0.1494140625
100,1,91,0.1,0.05493578124999998,0.1376953125
100,1,92,0.1,0.04761234375000001,0.1259765625
100,1,93,0.1,0.038824218750000083,0.1142578125
100,1,94,0.1,0.03223140624999998,0.1025390625
100,1,95,0.1,0.024420156249999936,0.0908203125
100,1,96,0.1,0.01660890624999989,0.07910523437500006
100,1,97,0.1,0.010750468749999964,0.06543445312499996
100,1,98,0.1,0.004891249999999903,0.05200640625000008
100,1,99,0.1,0.0009862499999999663,0.038824218750000083
100,1,100,0.1,0,0,0.022712656249999963
