N,d,k,beta,prob_low,prob_upp
100.0,1.0,0.0,0.1,0.9772367395591736,1.0
100.0,1.0,1.0,0.1,0.9616597348213196,0.9989457475090027
100.0,1.0,2.0,0.1,0.9476543539237976,0.9946695573997497
100.0,1.0,3.0,0.1,0.9344138045310973,0.9889285528373718
100.0,1.0,4.0,0.1,0.921651990070343,0.9824417898750305
100.0,1.0,5.0,0.1,0.9092277695655823,0.9754801066017151
100.0,1.0,6.0,0.1,0.89706103597641,0.9681846439933777
100.0,1.0,7.0,0.1,0.8850983846092224,0.9606297871589661
100.0,1.0,8.0,0.1,0.873301669254303,0.9528746627235413
100.0,1.0,9.0,0.1,0.8616480021858215,0.9449536022758483
100.0,1.0,10.0,0.1,0.8501183102989196,0.9368971227836609
100.0,1.0,11.0,0.1,0.8386954277992249,0.9287014096260071
100.0,1.0,12.0,0.1,0.8273660035133362,0.9204084236335754
100.0,1.0,13.0,0.1,0.816126222820282,0.912018164806366
100.0,1.0,14.0,0.1,0.8049627345466615,0.9035420770072937
100.0,1.0,15.0,0.1,0.7938698167610169,0.894987789478302
100.0,1.0,16.0,0.1,0.7828436548423767,0.8863610241508484
100.0,1.0,17.0,0.1,0.7718804341697694,0.8749915463447571
100.0,1.0,18.0,0.1,0.7609725255012513,0.868918669757843
100.0,1.0,19.0,0.1,0.7501180215263367,0.8601088026237488
100.0,1.0,20.0,0.1,0.7393150149345398,0.851245530796051
100.0,1.0,21.0,0.1,0.728559691104889,0.8423307615852356
100.0,1.0,22.0,0.1,0.7178482354164124,0.8333702169227601
100.0,1.0,23.0,0.1,0.7071806478691101,0.8243638968086243
100.0,1.0,24.0,0.1,0.6965550211524965,0.8153137085533142
100.0,1.0,25.0,0.1,0.6859694479560853,0.8062253740882874
100.0,1.0,26.0,0.1,0.675420113658905,0.7970931714820861
100.0,1.0,27.0,0.1,0.6649089255714417,0.7879247299766541
100.0,1.0,28.0,0.1,0.6544320690727233,0.7787200495719909
100.0,1.0,29.0,0.1,0.6439895441627501,0.7694810375785828
100.0,1.0,30.0,0.1,0.6335813508415222,0.7602057866859436
